الرصيد الحالي;أول المدة;الحد الأعلى;الحد الأدنى;كمية الطلب;الوحدة;اسم الصنف;الرقم
0.00;0.00;0.00;0.00;0.00;قطعة;صاج تركي مطبع 200/100 (0416);0416
0.00;0.00;0.00;0.00;0.00;قطعة;صاج تركي مطبع 200/100 (0445);0445
0.00;0.00;0.00;0.00;0.00;قطعة;صاج تركي مطبع 200/50 (0480);0480
0.00;0.00;0.00;0.00;0.00;قطعة;صاج تركي مطبع 200/100 (0545) اطار مضرب;0545
0.00;0.00;0.00;0.00;0.00;قطعة;صاج تركي مطبع 200/85 (0545) اطار مضرب;0545A
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 48ملم;1000/1
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة مربع 40/40ملم;1000/1A
407.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 120*30;1000812
1,726.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 150*30;1000815
240.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 175*30;1000817
802.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 200*30;1000820
240.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 225*30;1000822
0.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 250*30;1000825
240.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 270*30;1000827
0.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 300*30;1000830
240.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 330*30;1000833
0.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 350*30;1000835
240.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 420*30;1000842
0.00;0.00;0.00;0.00;0.00;قطعة;جرار اصفر مجلفن 500*30;1000850
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 38ملم;1001/1
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة مربع 30/30ملم;1001/1A
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 38ملم ثقيل (سمك 1.25ملم);1001/1B
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 32ملم;1002/1
190.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة مربع 25/25ملم;1002/1A
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 32ملم ثقيل (سمك 1.25ملم);1002/1B
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 25ملم;1003/1
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة مربع 20/20ملم;1003/1A
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 16ملم;1004/1
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 19ملم;1004/2
0.00;0.00;0.00;0.00;0.00;قطعة;مخروط زينة قطر 22ملم;1004/3
