التصنيف الرئيسي;التصنيف الفرعي;الكود;اسم الصنف
صاج ومواد خام;صاج مطبع;0416;صاج تركي مطبع 200/100 (0416)
صاج ومواد خام;صاج مطبع;0445;صاج تركي مطبع 200/100 (0445)
صاج ومواد خام;صاج مطبع;0480;صاج تركي مطبع 200/50 (0480)
صاج ومواد خام;صاج مطبع;0545;صاج تركي مطبع 200/100 (0545) اطار مضرب
صاج ومواد خام;صاج مطبع;0545A;صاج تركي مطبع 200/85 (0545) اطار مضرب
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1000/1;مخروط زينة قطر 48ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1000/1A;مخروط زينة مربع 40/40ملم
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000812;جرار اصفر مجلفن 120*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000815;جرار اصفر مجلفن 150*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000817;جرار اصفر مجلفن 175*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000820;جرار اصفر مجلفن 200*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000822;جرار اصفر مجلفن 225*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000825;جرار اصفر مجلفن 250*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000827;جرار اصفر مجلفن 270*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000830;جرار اصفر مجلفن 300*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000833;جرار اصفر مجلفن 330*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000835;جرار اصفر مجلفن 350*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000842;جرار اصفر مجلفن 420*30
إكسسوارات أبواب وجرارات;إكسسوارات جرارات وأبواب;1000850;جرار اصفر مجلفن 500*30
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1001/1;مخروط زينة قطر 38ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1001/1A;مخروط زينة مربع 30/30ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1001/1B;مخروط زينة قطر 38ملم ثقيل (سمك 1.25ملم)
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1002/1;مخروط زينة قطر 32ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1002/1A;مخروط زينة مربع 25/25ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1002/1B;مخروط زينة قطر 32ملم ثقيل (سمك 1.25ملم)
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1003/1;مخروط زينة قطر 25ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1003/1A;مخروط زينة مربع 20/20ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1004/1;مخروط زينة قطر 16ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1004/2;مخروط زينة قطر 19ملم
زينة حديد وحدادة ديكورية;مخاريط ورماح وطابات;1004/3;مخروط زينة قطر 22ملم
مفصلات وأقفال وقطع تثبيت;مفصلات;1006520;مفصلة مبروم 10ملم اسود (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006521;مفصلة مبروم 10ملم مجلفن (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006522;مفصلة مبروم 20ملم مجلفن مجنحة 2قطعة
مفصلات وأقفال وقطع تثبيت;مفصلات;1006523;مفصلة مبروم 20ملم مجلفن مجنحة 3قطعة
مفصلات وأقفال وقطع تثبيت;أقفال وسكرات ولقاطات;1006524;اذن قفل مجلفن 50*50*8ملم
مفصلات وأقفال وقطع تثبيت;أقفال وسكرات ولقاطات;1006525;اذن قفل مجلفن 50*75*8ملم
مفصلات وأقفال وقطع تثبيت;مفصلات;1006526;مفصلة مبروم 12ملم اسود (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006527;مفصلة مبروم 12ملم مجلفن (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006528;مفصلة مبروم 14ملم اسود (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006529;مفصلة مبروم 14ملم مجلفن (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006530;مفصلة مبروم 16ملم اسود (شيالة)
مفصلات وأقفال وقطع تثبيت;مفصلات;1006531;مفصلة مبروم 16ملم مجلفن (شيالة)
